coin,date_start,date_end,n_test,target,model,acc,f1
ETH,2022-12-02 00:00:00+00:00,2022-12-31 00:00:00+00:00,30,target_direction,Transformer,0.6,0.6470588235294118
ETH,2023-01-01 00:00:00+00:00,2023-01-30 00:00:00+00:00,30,target_direction,LSTM,0.6333333333333333,0.7755102040816326
ETH,2023-01-01 00:00:00+00:00,2023-01-30 00:00:00+00:00,30,target_direction,Transformer,0.5666666666666667,0.6829268292682927
ETH,2023-01-31 00:00:00+00:00,2023-03-01 00:00:00+00:00,30,target_direction,LSTM,0.4666666666666667,0.6363636363636364
ETH,2023-01-31 00:00:00+00:00,2023-03-01 00:00:00+00:00,30,target_direction,Transformer,0.5,0.6153846153846154
ETH,2023-03-02 00:00:00+00:00,2023-03-31 00:00:00+00:00,30,target_direction,LSTM,0.5,0.6666666666666666
ETH,2023-03-02 00:00:00+00:00,2023-03-31 00:00:00+00:00,30,target_direction,Transformer,0.5,0.6511627906976745
ETH,2023-04-01 00:00:00+00:00,2023-04-30 00:00:00+00:00,30,target_direction,LSTM,0.5333333333333333,0.6956521739130435
ETH,2023-04-01 00:00:00+00:00,2023-04-30 00:00:00+00:00,30,target_direction,Transformer,0.5333333333333333,0.6956521739130435
ETH,2023-05-01 00:00:00+00:00,2023-05-30 00:00:00+00:00,30,target_direction,LSTM,0.5333333333333333,0.6956521739130435
ETH,2023-05-01 00:00:00+00:00,2023-05-30 00:00:00+00:00,30,target_direction,Transformer,0.5,0.6153846153846154
ETH,2023-05-31 00:00:00+00:00,2023-06-29 00:00:00+00:00,30,target_direction,LSTM,0.4666666666666667,0.6363636363636364
ETH,2023-05-31 00:00:00+00:00,2023-06-29 00:00:00+00:00,30,target_direction,Transformer,0.4666666666666667,0.6
ETH,2023-06-30 00:00:00+00:00,2023-07-29 00:00:00+00:00,30,target_direction,LSTM,0.43333333333333335,0.6046511627906976
ETH,2023-06-30 00:00:00+00:00,2023-07-29 00:00:00+00:00,30,target_direction,Transformer,0.5,0.6153846153846154
ETH,2023-07-30 00:00:00+00:00,2023-08-28 00:00:00+00:00,30,target_direction,LSTM,0.3,0.46153846153846156
ETH,2023-07-30 00:00:00+00:00,2023-08-28 00:00:00+00:00,30,target_direction,Transformer,0.36666666666666664,0.2962962962962963
ETH,2023-08-29 00:00:00+00:00,2023-09-27 00:00:00+00:00,30,target_direction,LSTM,0.5,0.6666666666666666
ETH,2023-08-29 00:00:00+00:00,2023-09-27 00:00:00+00:00,30,target_direction,Transformer,0.43333333333333335,0.5405405405405406
ETH,2023-09-28 00:00:00+00:00,2023-10-27 00:00:00+00:00,30,target_direction,LSTM,0.5666666666666667,0.723404255319149
ETH,2023-09-28 00:00:00+00:00,2023-10-27 00:00:00+00:00,30,target_direction,Transformer,0.5333333333333333,0.65
ETH,2023-10-28 00:00:00+00:00,2023-11-26 00:00:00+00:00,30,target_direction,LSTM,0.6333333333333333,0.7755102040816326
ETH,2023-10-28 00:00:00+00:00,2023-11-26 00:00:00+00:00,30,target_direction,Transformer,0.6,0.6842105263157895
ETH,2023-11-27 00:00:00+00:00,2023-12-26 00:00:00+00:00,30,target_direction,LSTM,0.6,0.75
ETH,2023-11-27 00:00:00+00:00,2023-12-26 00:00:00+00:00,30,target_direction,Transformer,0.5333333333333333,0.6666666666666666
ETH,2023-12-27 00:00:00+00:00,2024-01-25 00:00:00+00:00,30,target_direction,LSTM,0.43333333333333335,0.6046511627906976
ETH,2023-12-27 00:00:00+00:00,2024-01-25 00:00:00+00:00,30,target_direction,Transformer,0.5333333333333333,0.5333333333333333
