coin,date_start,date_end,n_test,target,model,acc,auc,f1
BTC,2023-05-01 00:00:00+00:00,2023-05-30 00:00:00+00:00,30,target_direction,Random_Walk,0.4666666666666667,0.21428571428571427,0.42857142857142855
BTC,2023-05-01 00:00:00+00:00,2023-05-30 00:00:00+00:00,30,target_direction,GARCH11_directional,0.4666666666666667,0.0,0.6363636363636364
BTC,2023-05-31 00:00:00+00:00,2023-06-29 00:00:00+00:00,30,target_direction,Naive_Persistence,0.3,0.08888888888888889,0.27586206896551724
BTC,2023-05-31 00:00:00+00:00,2023-06-29 00:00:00+00:00,30,target_direction,Naive_Majority,0.5,0.5,0.6666666666666666
BTC,2023-05-31 00:00:00+00:00,2023-06-29 00:00:00+00:00,30,target_direction,Random_Walk,0.4666666666666667,0.21777777777777776,0.4666666666666667
BTC,2023-05-31 00:00:00+00:00,2023-06-29 00:00:00+00:00,30,target_direction,GARCH11_directional,0.5,0.0,0.6666666666666666
BTC,2023-06-30 00:00:00+00:00,2023-07-29 00:00:00+00:00,30,target_direction,Naive_Persistence,0.4666666666666667,0.21777777777777776,0.4666666666666667
BTC,2023-06-30 00:00:00+00:00,2023-07-29 00:00:00+00:00,30,target_direction,Naive_Majority,0.5,0.5,0.6666666666666666
BTC,2023-06-30 00:00:00+00:00,2023-07-29 00:00:00+00:00,30,target_direction,Random_Walk,0.5,0.24888888888888888,0.4827586206896552
BTC,2023-06-30 00:00:00+00:00,2023-07-29 00:00:00+00:00,30,target_direction,GARCH11_directional,0.5,0.0,0.6666666666666666
BTC,2023-07-30 00:00:00+00:00,2023-08-28 00:00:00+00:00,30,target_direction,Naive_Persistence,0.4666666666666667,0.15789473684210525,0.2727272727272727
BTC,2023-07-30 00:00:00+00:00,2023-08-28 00:00:00+00:00,30,target_direction,Naive_Majority,0.36666666666666664,0.5,0.5365853658536586
BTC,2023-07-30 00:00:00+00:00,2023-08-28 00:00:00+00:00,30,target_direction,Random_Walk,0.43333333333333335,0.19138755980861244,0.37037037037037035
BTC,2023-07-30 00:00:00+00:00,2023-08-28 00:00:00+00:00,30,target_direction,GARCH11_directional,0.36666666666666664,0.0,0.5365853658536586
