coin,d,tau,mean_PE,std_PE,cv_PE,n_patterns,score
ETH,4,1,0.9888302953553886,0.0027360589875414787,0.0027669651712636536,24,77.4522591775439
ETH,4,2,0.9873417101087139,0.00435110445447634,0.004406888121836606,24,68.53261452153531
ETH,4,3,0.9862630326199658,0.0038922075800091674,0.003946419414773904,24,70.7180103572093
ETH,4,5,0.9852657673510101,0.004449889586608657,0.004516435802461841,24,67.87242962104506
ETH,5,1,0.9456805340779254,0.00526457100244205,0.005566965600671521,120,60.74918891303589
ETH,5,2,0.9454856224781346,0.007839554424930508,0.008291563867861475,120,51.68970949167259
ETH,5,3,0.9434532404537099,0.008671929399244912,0.00919168966451942,120,49.15946729786468
ETH,5,5,0.9404088646804377,0.007357780350507289,0.007824022748870757,120,52.76075316611775
ETH,6,1,0.8056566929651829,0.004413173266537993,0.005477734257118912,720,52.05262473056254
ETH,6,2,0.8015915865830662,0.00521000065458478,0.006499570032648273,720,48.58257427296161
ETH,6,3,0.7988364100079468,0.0053076975543877155,0.0066442859738056635,720,47.994633789946555
ETH,6,5,0.7931353366697541,0.004334321327997764,0.005464794124785068,720,51.28651117305302
LTC,3,1,0.9963580849459115,0.0031595879236637012,0.0031711369350026926,6,75.64708269777834
LTC,3,2,0.9966121856366208,0.002816666589905449,0.0028262413710137195,6,77.70103156555939
LTC,3,3,0.9963730970418704,0.002667376432829161,0.0026770859638278583,6,78.59638247187641
LTC,3,5,0.9952806285738092,0.00436187247213824,0.004382555378762087,6,69.200542070812
LTC,4,1,0.9879709529210869,0.005372206572364434,0.005437615910139106,24,63.997637891237346
LTC,4,2,0.9843111996592003,0.004247493130416338,0.004315193337109889,24,68.75989562135554
LTC,4,3,0.9876101312731963,0.0034276361251133263,0.003470636860206217,24,73.31577129739932
LTC,4,5,0.9861204057247603,0.005563852100796336,0.005642163034544932,24,63.04245797380853
LTC,5,1,0.9463432525206248,0.009255038704846888,0.009779790451494134,120,47.84394732802337
LTC,5,2,0.9407869753550897,0.0076721762440888795,0.008155062139529457,120,51.81954036426521
LTC,5,3,0.9433494052556218,0.007653267337126398,0.008112866022366823,120,52.081730416970956
LTC,5,5,0.9412754200114888,0.00912274170282614,0.009691894113951365,120,47.80014632236985
LTC,6,1,0.8035776634205347,0.006247062851199886,0.007774062340907613,720,45.21069230026684
LTC,6,2,0.8005801155702833,0.005525170156239332,0.0069014581411338755,720,47.36751757659735
LTC,6,3,0.798705061695896,0.00530019389361602,0.006635983854109358,720,48.01068988165691
LTC,6,5,0.7955135032945299,0.00405146136068996,0.00509288823370841,720,52.7078376899282
SOL,3,1,0.9971155776882153,0.0020418346148120907,0.002047741165115462,6,82.76369520415899
SOL,3,2,0.9953539335868185,0.0026426993585011303,0.002655034826632319,6,78.65280081980588
SOL,3,3,0.9965665927051525,0.003731193759469493,0.0037440486032524196,6,72.50895434619774
SOL,3,5,0.9962414045581744,0.002332383651951011,0.0023411832124996495,6,80.72495055005267
SOL,4,1,0.9866548834488935,0.0050601384105766105,0.005128579907174387,24,65.21794441400245
SOL,4,2,0.9851804215600464,0.0043075296101150054,0.004372325632790796,24,68.54704288861464
SOL,4,3,0.988443833147,0.004549941211336653,0.004603135816878923,24,67.68709443929944
SOL,4,5,0.9853025580908862,0.004227475184940462,0.004290535074959402,24,68.94791223159888
SOL,5,1,0.9430683008461274,0.007841999561875255,0.008315409981261212,120,51.490428104584915
SOL,5,2,0.9426159985754721,0.008111117601987603,0.00860490126863635,120,50.66492882520743
SOL,5,3,0.9438041912195152,0.009950589151185817,0.010543065228729113,120,45.94271500922958
SOL,5,5,0.9419770402384383,0.007111376892615744,0.007549416375167833,120,53.675690410498326
SOL,6,1,0.8039464971031162,0.00545047444575707,0.0067796482295652055,720,47.91199947127545
SOL,6,2,0.8036149072557316,0.005356635979462901,0.006665675227141613,720,48.21976285407083
SOL,6,3,0.7980505987552334,0.00626614440606392,0.007851813426153358,720,44.70417540808875
SOL,6,5,0.7960723278673512,0.004544133517962374,0.005708191779671873,720,50.67880116523382
XRP,3,1,0.9960986382621955,0.002956457140648326,0.002968036524779539,6,76.81183164150052
XRP,3,2,0.9968821382654881,0.0018088224360039674,0.0018144797329295013,6,84.37799723731911
XRP,3,3,0.9971073794571634,0.0024338520911077488,0.0024409127253980653,6,80.14744588807969
XRP,3,5,0.9964293543001682,0.002572583307283559,0.002581802007516935,6,79.19607650039768
XRP,4,1,0.9867560702409272,0.004979681058676599,0.005046516772332305,24,65.58036555379945
XRP,4,2,0.986529067538191,0.005320735417035659,0.005393389401396717,24,64.08783938439694
XRP,4,3,0.987050683973425,0.004756472287843801,0.004818873402418962,24,66.60767368538984
XRP,4,5,0.9877455729623141,0.003687763435612645,0.0037335155292562497,24,71.92226716153911
XRP,5,1,0.9442929966718392,0.009345929937366541,0.0098972776143595,120,47.458401846409394
XRP,5,2,0.9414786113433564,0.008135047173285614,0.008640713740346598,120,50.50657525551652
XRP,5,3,0.9441190100595768,0.008205815323397439,0.008691505240288442,120,50.51059280258412
XRP,5,5,0.9406453523928341,0.008327893983889164,0.008853383437972274,120,49.892654837661475
XRP,6,1,0.8045522179821069,0.005056768963914561,0.006285196722956194,720,49.403899238624575
XRP,6,2,0.8003946446993468,0.005203451144993502,0.00650110689701276,720,48.50551236924866
XRP,6,3,0.8003773676368283,0.006515372451530473,0.00814037567149036,720,44.12132263030866
XRP,6,5,0.7945661665166814,0.0053078886880874605,0.006680234965641901,720,47.635190280792564
